H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,H_GPS_bias,VH_GPS_bias,Aileron_bias,Elevator_bias,Rudder_bias,IAS_bias,Roll_bias,Pitch_bias,Yaw_bias,p_bias,q_bias,r_bias,a_x_bias,a_y_bias,a_z_bias,H_IMU_bias,VE_IMU_bias,VN_IMU_bias,VU_IMU_bias,H_baro_bias
679.03,4.269461632,1482,1900,1492,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.094,-0.067,-1.857,106.781,31.76,4.29,-4.21,934.3292847,679.03,4.269461632,1482,1900,1492,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.094,-0.067,-1.857,106.781,31.76,4.29,-4.21,934.3292847
679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.094,-0.067,-1.857,106.781,31.76,4.29,-4.21,934.3292847,679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.094,-0.067,-1.857,106.781,31.76,4.29,-4.21,934.3292847
679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.094,-0.067,-1.857,106.781,31.76,4.29,-4.21,934.3292847,679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.094,-0.067,-1.857,106.781,31.76,4.29,-4.21,934.3292847
679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.3292847,679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.3292847
679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.3292847,679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.3292847
679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.3292847,679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.3292847
679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,679.03,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.152042657,0.166151956,0.173556805,-0.088135801,0.004832026,-0.021711757,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.269461632,1495,1696,1498,29.08398819,-0.168663725,0.163972571,0.165948644,-0.039169427,-0.010813187,-0.034942947,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.269461632,1495,1696,1498,29.08398819,-0.168663725,0.163972571,0.165948644,-0.039169427,-0.010813187,-0.034942947,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
680.53,4.208862782,1495,1696,1498,28.81089401,-0.168663725,0.163972571,0.165948644,-0.039169427,-0.010813187,-0.034942947,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562,680.53,4.208862782,1495,1696,1498,28.81089401,-0.168663725,0.163972571,0.165948644,-0.039169427,-0.010813187,-0.034942947,0.023,0.008,-0.981,106.781,31.76,4.29,-4.21,934.088562
